"File","SHA256"
"assets/sm_humanoid_walker_shoulder_swivel.stp","FFB4C62255267096C785ED53CB3248C96DBC8EC06AFBC0073E530B3D8D5329FD"
"assets/sm_humanoid_walker_shoulder.stp","A2C357F95FC603C32B0252FD78717ABD00D29729C89CC09AAC8288C8DE3478EF"
"assets/sm_humanoid_walker_trunk.stp","6BEE828C3AF1D463C9C0EB55B537DBF45DD513B14C993C17397E95AF4CEABBFE"
"assets/sm_humanoid_walker_upper_arm.stp","256908FDFDE7EADEE600111B62FD68729B5027F4B3BA9A9DAF20E1EBDA6A1826"
"assets/sm_humanoid_walker_upper_leg.stp","23449D87B4BC2D36AE74BD17E0A47C32FA9607DCAFD922E115E6F6F06BF43E7E"
"assets/sm_humanoid_walker_waist.stp","A0F4F8B27B89E615ABAB1A66C004D4C34CE8A206EE9E0E6A29595F58416A214D"
"controllers/apply_frozen_pd_gravity_controller.m","C5C866E3D2730EE6E7C9A5A80E09C7B42AF04891272F962B91B8C0CF3574BD92"
"controllers/frozen_pd_gravity_controllers.m","ABCBE9F4F59ECADC2800510E5C70A605BEFD1649A3291C9F61BC6A65299289F9"
"controllers/frozen_residual_rl_controller.m","EFCD04C8CF5DB77FC86F0ABB7B0470C3649DDAC62B3D1790FD9F1A60F35E09A3"
"controllers/frozen_residual_rl_seed1_controller.m","74CB2A27441119824C9EF2D362BDB0594890718935E54F6CB6CE2856648F22DD"
"controllers/frozen_residual_rl_seed2_controller.m","A450BADB1B92A6D572855EBE183477E388330ACF94A0504D93CE493F689BB45A"
"controllers/load_frozen_residual_rl_agent.m","964D84765CA5CF15157C0621E1D72FDE19F5BEB9AEAA509709787D6ECF89425B"
"controllers/load_frozen_residual_rl_seed1_agent.m","FABD61D69204CA3A108072AC3090118FB72F46B5658178A37BD5E40A93137261"
"controllers/load_frozen_residual_rl_seed2_agent.m","F67AC083ED09D848D8C933B278D4AD7887BD04FB415A4A0D59C907F7C376C796"
"experiments/ablate_gravity_nominal_interaction.m","AA753BD8604FFFD18FB949E077E519654657F299668B38220FAF4E606515361A"
"experiments/audit_rl75_all_motor_drive_nominal_action.m","79DC6AE0B293581780770BC2FA64180ED56434BBF5AEFFFDB46965B6DFCC5DA9"
"experiments/benchmark_all_motor_drive_disturbance.m","1A467413BFC557B7E86B8BD07347B1FBCBC6596BEE0A4547E4CAF57FED8231C0"
"experiments/benchmark_all_motor_drive_nominal_controllers.m","535BB0DEF97820BF1C073D90A636019F34B747CB05128F5CBC794D2F976725D7"
"experiments/calibrate_controller_a_recovery_boundary.m","7F045ADD0E350E0FBFCA81E7CDCFBC35D1861C571A2E8C811AAE1F2188C022AD"
"experiments/calibrate_frozen_rl75_lateral_boundary.m","03BFA52F8717D868E731A980A72C411243CCC98F1B3C727D0EFA5F642CDF12B6"
"experiments/calibrate_frozen_seed1_rl25_lateral_boundary.m","E0D1444AC6FDCBC20F17AF415EFE66666B15ACC22113738978E79B5F9104BA15"
"experiments/calibrate_lateral_push_response.m","11D1F84C040F66F007399EE2CA9F9CFB3E2222656B60ECC0B15C1D3916DD2E4F"
"experiments/calibrate_sagittal_push_response.m","68090537E32E2E814B992EB1DEF1E65B600245067186AB42159D533544BE30F8"
"experiments/evaluate_frozen_rl75_sagittal_nonregression.m","5584BAAD1A059693EB674211287740108C50B8150B2C378B51B21A9175A12033"
"experiments/evaluate_frozen_rl75_timing_generalization.m","0B9EE7E6A446BCE08CFF867F3FBDF5A36616A484558C74CFBD23BB4E7E8F4E22"
"experiments/evaluate_frozen_rl75_uncertainty_generalization.m","5F63663E8266B2921BC2CB8EB90ED8401E140DFB2CE984D6C5184414CB8228D8"
"experiments/experiment_controller_c_sequence.m","6AC7E777DBC779DBF86AB5F8053274F9723DA147E3B04DEA49185E2624005B29"
"experiments/experiment_matched_feedback_gain_authority.m","469B91ADA50EBD6219F8D9BB616E785F2DB97BF9C626A9C8E66115A41279C0B0"
"experiments/extend_controller_d_sagittal_horizon.m","A1C3BC1B73FC3FB90905307C918804A0B8B19B4C4D3077C2E637960247B5354F"
"experiments/run_final_rl75_frozen_protocol_benchmark.m","5B88F77280C7F34C71543C5A7F9D87FBCAE60BAB8F2D745AC88347BA88B95D82"
"experiments/run_formal_robustness_benchmark.m","6C34BCAA6E002EFA13A0D1F2AC0BEB80186BD5E359155B7B38FE1225F886FE52"
"experiments/run_frozen_rl75_authority_ablation.m","D2B41E706DF035FAB13DC29968331FE0247B626E99092F69430B597ED112D91A"
"experiments/run_model_uncertainty_study.m","E4CA7187140AFC15941F2C28DF5AB65E30D63AEBEB713543F796D8AF02CA9CBD"
"experiments/run_specific_uncertainty_case.m","1763477F2954F8816896BC71AF4F9D0850E510FB0A7B1BAFBF12F4D3949F060D"
"models/HumanoidModel_ActuatorNonideal.slx","DD64788ABC8915D67AED1956C9C5F48E4621A16D39592A82731F980DE6E05CF2"
"models/HumanoidModel_BaselineBalanceControl.slx","1353ECD84B6CC50023CB8FE89F962F214C187557C024FE4AF9DA28318A372554"
"models/HumanoidModel_GravityValidation.slx","0471756709E0506E68AD0F1206AB98370E9298AE1FE725AF16EC17C676801CDF"
"models/HumanoidModel_ResidualRL.slx","7738D04199E7C39A8A7F59774EFF564DE5F0ED61273666ADBC8DB93C925AA870"
"models/sm_humanoid_walker_lib.slx","8953AEC79046DC3DCDF79D24A8388BB7193B92BF8FB9B2A049EAB62E06E0B48A"
"model_construction/build_manual_humanoid_tree_BFreversed.m","DDD3792B265B98A32D6ED155B8CCE1362E2D589B822D762E45745E0A79132EB6"
"model_construction/validate_manual_rigidbodytree_BFreversed.m","1921EC14F3198B721498E92E891BACC6BEA85E6ECFAA7B09A3B1ABD92F2B6FA4"
"plotting/generate_chapter3_nominal_figures.m","B1636A1C5534179646534A5140F2C2A944D826F3DB482123EAB77203FE6838B2"
"plotting/generate_chapter3_robustness_figures.m","215E8A096AAFA15B9A35F335B8FCE504AC999E44B26236AEEAFEE5001A620DA3"
"plotting/generate_chapter4_residual_figures.m","CEACE138CE4DAC1F0157A8B0AC0224AD1CD56AA0AC1C25F51117B1C425FB0F8A"
"plotting/generate_chapter5_actuator_figures.m","3BE6454B7379D719AF9AA44FC720343E3D5162EDA4ED007355FDD901A4DFC215"
"plotting/generate_poster_nonideal_nominal_trajectories.m","66BBF2F037785C9BF0840A02A1542031F2BDB8F5263FC3EBCA913D445834F792"
"plotting/generate_poster_result_figures.m","402A0587015C6606916B076CB1556D0325D438E28EBCB8110E13E5CA60168375"
"setup/controller_baseline_parameters.mat","24A94A3A15E9517470355E27722CF195A64241901B9EE4246B6E070EC2EE1D67"
"setup/frozen_robustness_protocol.m","ADF900C18665528A270298D23CAE2060F5F5B5195D3EB89B7E8FDCBC3A74B179"
"setup/humanoid_walker_parameters.m","3A2E3B9A1DB93A2EECA6188E123BCEF4FFF39976A2C694A30BF3AB50286BDE95"
"setup/inverseDynamics.m","18E9BFD462AFA0F3720A0C23029F743004CED6C546C412399A802A6009FDE4CF"
"setup/joint_order.mat","F4D285236BF0EDB35D420E298BF55E5815D78F7922F741E8B1B357ADA4BEFDB6"
"setup/project_codes_root.m","B20CE7E16454D8B9F528F73775F32F19BF5259BF253240B7142FA2A876A7A21B"
"setup/project_root.m","AD73C83463F89D1CAB79E3265A0732359B924505AF46064A60643F5E69294805"
"setup/release_file_sha256.m","3BB9E7AD409CA6CA04981FA49EE14D7A0F7E262D7D26D957B93842050BB7103C"
"setup/residual_rl_parameters.m","F2F84C847BF4BE7F807AF5A03221C8B46D55AD0ED7169F0BE0013D4924D89673"
"setup/validated_humanoid_rbt_full.mat","106BAC063FCA7952C5C013EE6A59334BD7A13D26D308A575A04B34EDA85FD6C6"
"setup/validated_humanoid_rbt_kinematics.mat","61EB8B5E9435EC3DCEA08CAC8E03287706729834D5295A055C7BB43EF9B98F09"
"setup/verify_release_deployment.m","55FDFA8783D93807C39F2A8978BCC995C6A021D4E528DA485737A70945808A95"
"training/create_residual_rl_agent.m","D244DBBD332BF11908FCA5911959638085BA7A020A08FF0E7BE7A44F835F8A42"
"training/create_residual_rl_environment.m","9EFB0F21C89D0CF04D7E357ED70A2FF46D1C943E0297F45A44AD9AA3A70DEDCD"
"training/evaluate_residual_rl_checkpoints.m","35CF36F7462285C7EBFE506FBF10E8EFE09903361FE1699F31B8BC24720ED5A8"
"training/reset_residual_rl_environment.m","DB58B1650406D2E8AF24AC81D7C9C10E4F728359D0BBCCD77C4731BECAA8611B"
"training/residual_rl_training_protocol.m","970392D7F77A5486D2F75D1D5D2C1797966FD3DCD62DD5D8B47F60D6615954D1"
"training/sample_residual_rl_training_case.m","2E6B240C960D556AE61B0A05778B300875F7EB0E0AA86BE4169CF2D2E02DFEB2"
"training/train_residual_rl_authority_ablation.m","E305A53A2BBEA88BB513E5C290179B6D1E35EB9C3415CAA62614B46D51A8943B"
"training/train_residual_rl_sac.m","8BFC574B3BC1265199F4CCD2F21518A2F01808038402A7163585FFC3EC2A760C"
